"District";"Latitude";"Longitude"
"4";41.757729699;-87.590772269
"25";41.917263857;-87.718317006
"1";41.852879013;-87.629527333
"8";41.779032023;-87.699038527
"19";41.964690993;-87.654779398
"4";41.694496375;-87.534076696
"15";41.872041238;-87.747664833
"6";41.743120351;-87.660023117
"4";41.735053088;-87.545781858
"9";41.837828905;-87.665743111
"10";NA;NA
"15";41.871884688;-87.760149794
"12";41.887542866;-87.704470299
"4";41.714859401;-87.559767061
"6";41.757808085;-87.623137903
"8";41.785769335;-87.688698018
"7";41.768382919;-87.644495002
"6";41.750773621;-87.634642001
"9";41.801040034;-87.651407142
"11";41.874370513;-87.724335186
"15";41.876581037;-87.745137513
"12";41.884781525;-87.696388805
"8";41.780610645;-87.684899958
"25";41.925196299;-87.720673465
"11";41.885448159;-87.711876038
"6";41.750179661;-87.677264946
"9";41.811709152;-87.644401481
"8";41.780898824;-87.696185982
"1";41.844023772;-87.626923253
"3";41.770116303;-87.621814436
"4";41.736599019;-87.575707974
"15";41.889536506;-87.748874946
"15";41.876581037;-87.745137513
"14";41.908972759;-87.692088887
"6";41.752149728;-87.605224518
"4";41.73365047;-87.557845321
"9";41.795997265;-87.648383751
"5";41.700104224;-87.607023989
"5";41.688434825;-87.628986787
"10";41.849045571;-87.708829783
"5";41.653736383;-87.595466129
"6";41.736702897;-87.647284792
"25";41.929208542;-87.717118186
"14";41.918562025;-87.716809102
"7";41.780352232;-87.66424243
"22";41.690701233;-87.664282585
"15";41.885720773;-87.747018429
"17";41.946994966;-87.717840178
"24";42.019439727;-87.679733832
"19";41.963599469;-87.65535722
"18";41.903700111;-87.644078325
"2";41.809305232;-87.606558389
"3";41.769255825;-87.619800447
"19";41.932739116;-87.648139143
"22";41.71790087;-87.637580482
"5";41.685990938;-87.625626993
"5";41.670157929;-87.634445665
"22";41.736017842;-87.641961153
"24";42.019453023;-87.681106373
"8";41.784350183;-87.771746653
"7";41.764363976;-87.67230402
"4";41.705551104;-87.538912963
"19";41.939935646;-87.652491107
"8";41.794865428;-87.70481967
"22";41.681967889;-87.6726721
"8";41.773332991;-87.683481204
"8";41.776828416;-87.689674782
"3";41.768552892;-87.615332396
"4";41.701886261;-87.530451436
"8";41.799489821;-87.753937178
"8";41.795200317;-87.772143356
"11";41.879661866;-87.733806626
"15";41.88465094;-87.75522124
"22";41.73051892;-87.636169423
"9";41.80191921;-87.689141329
"6";41.735857166;-87.624152861
"8";41.792690386;-87.703531765
"22";41.736029804;-87.646702072
"9";41.794526301;-87.645164943
"12";41.881100704;-87.692793605
"5";41.696264494;-87.620102518
"9";41.794614135;-87.645167671
"25";41.910024498;-87.775249754
"1";41.867441224;-87.625259375
"24";42.005377123;-87.670396268
"5";41.68289673;-87.634827673
"3";41.767414241;-87.589487591
"4";41.731530391;-87.544326476
"6";41.741354753;-87.624271917
"4";41.702232026;-87.525748868
"4";41.736759399;-87.597000707
"10";41.840579498;-87.723639151
"6";41.749192914;-87.66462106
"8";41.778251378;-87.693367158
"8";41.780052052;-87.683662683
"18";NA;NA
"12";41.889298593;-87.706370187
"6";41.752652015;-87.605237166
"7";41.793001752;-87.668210724
"6";41.748701119;-87.651913698
"4";41.74249032;-87.543008768
"12";41.88191075;-87.704301523
"8";41.784056677;-87.686218215
"11";41.866313546;-87.713592319
"16";41.976608792;-87.841539327
"11";41.879632285;-87.736557282
"15";41.881266124;-87.763224021
"4";41.754643562;-87.565076428
"7";41.782119791;-87.664282719
"3";41.765788342;-87.590987258
"6";41.745807057;-87.604266485
"22";41.706070186;-87.653645803
"20";41.990816326;-87.668476414
"4";41.742271198;-87.56000975
"8";41.767783295;-87.688221953
"12";41.885807785;-87.701340051
"5";41.688516319;-87.619510791
"25";41.905674352;-87.733769038
"4";41.740006974;-87.558761814
"8";41.778380633;-87.688508047
"10";41.851660202;-87.715304747
"15";41.884333614;-87.754331723
"5";41.648648766;-87.617225181
"5";41.675548367;-87.623786731
"25";41.917279172;-87.717078645
"8";41.770155577;-87.682596821
"22";41.701412524;-87.646631042
"4";41.733245867;-87.544367764
"24";42.019461471;-87.682110954
"5";41.668133569;-87.6247429
"25";41.92130007;-87.776845438
"3";41.773018105;-87.612742081
"5";41.699584978;-87.628081503
"2";41.823798151;-87.619756522
"11";41.877016678;-87.731235302
"9";41.813570499;-87.668746294
"9";41.809395832;-87.668639056
"9";41.804959484;-87.63326135
"15";41.901246764;-87.764287899
"5";41.692273984;-87.612146482
"6";41.746179923;-87.669397788
"19";41.934322578;-87.683065991
"25";41.915821081;-87.727740336
"7";41.779975054;-87.630937377
"6";41.751188711;-87.610794771
"7";41.793257667;-87.634129462
"6";41.750549448;-87.621370913
"6";41.721627204;-87.624485177
"17";41.969653773;-87.703644933
"7";41.780272999;-87.666663071
"6";41.75815338;-87.602924599
"6";41.7504903;-87.614954696
"8";41.789107324;-87.702210086
"8";41.780218151;-87.684889246
"12";41.883550783;-87.705618479
"5";41.681633115;-87.625656442
"15";41.888861359;-87.750482353
"6";41.739005004;-87.637638525
"17";41.968446906;-87.708775431
"11";41.876581037;-87.745137513
"20";41.968876357;-87.669881306
"6";41.756192714;-87.611413009
"9";41.819067994;-87.635096085
"4";41.751767706;-87.563461582
"8";41.78394545;-87.6898676
